HEADING,LOCA_ID,LOCA_TYPE,LOCA_STAT,LOCA_NATE,LOCA_NATN,LOCA_GL,LOCA_REM,LOCA_FDEP,LOCA_STAR,LOCA_PURP,LOCA_TERM,LOCA_ENDD,LOCA_DATM,LOCA_LAT,LOCA_LON,LOCA_LLZ,LOCA_WDEP
DATA,HKW033-TCPT,SCP,Final,550786.1,5839528.16,,"",6.04,2019-06-16,"","","","","","","",27.0
DATA,HKW034-PCPT,SCP,Final,552362.17,5839222.49,,"",54.57,2019-06-05,"","","","","","","",28.0
DATA,HKW035-PCPT,SCP,Final,554297.38,5838831.81,,"",54.69,2019-06-05,"","","","","","","",28.0
DATA,HKW035-SCPT,SCP,Final,554296.13,5838828.85,,"",52.93,2019-06-15,"","","","","","","",27.0
DATA,HKW035-TCPT,SCP,Final,554289.56,5838832.06,,"",6.06,2019-06-13,"","","","","","","",28.0
DATA,HKW036-PCPT,SCP,Final,554000.69,5837289.45,,"",48.04,2019-06-03,"","","","","","","",29.0
DATA,HKW036-SCPT,SCP,Final,553998.26,5837289.11,,"",47.54,2019-06-15,"","","","","","","",29.0
DATA,HKW037-PCPT,SCP,Final,556743.24,5836754.51,,"",53.76,2019-06-04,"","","","","","","",28.0
DATA,HKW038-PCPT,SCP,Final,551178.2,5837413.87,,"",53.22,2019-06-03,"","","","","","","",26.0
DATA,HKW038-SCPT,SCP,Final,551182.01,5837410.31,,"",53.24,2019-06-15,"","","","","","","",27.0
DATA,HKW038-TCPT,SCP,Final,551181.06,5837411.88,,"",6.1,2019-06-16,"","","","","","","",26.0
DATA,HKW039-PCPT,SCP,Final,554704.35,5836739.49,,"",52.85,2019-06-03,"","","","","","","",29.0
DATA,HKW039-SCPT,SCP,Final,554705.16,5836742.71,,"",52.22,2019-06-15,"","","","","","","",29.0
DATA,HKW039-TCPT,SCP,Final,554710.39,5836737.7,,"",6.04,2019-06-16,"","","","","","","",29.0
DATA,HKW040-PCPT,SCP,Final,548354.79,5837546.2,,"",45.4,2019-05-25,"","","","","","","",28.5
DATA,HKW040-TCPT,SCP,Final,548351.03,5837541.99,,"",6.05,2019-06-03,"","","","","","","",28.5
DATA,HKW041-PCPT,SCP,Final,549526.77,5837321.16,,"",31.62,2019-05-25,"","","","","","","",31.0
DATA,HKW042-PCPT,SCP,Final,552295.93,5836791.06,,"",54.02,2019-06-03,"","","","","","","",30.0
DATA,HKW043-PCPT,SCP,Final,553878.07,5836493.83,,"",53.21,2019-06-03,"","","","","","","",30.0
DATA,HKW044-PCPT,SCP,Final,546635.46,5837048.9,,"",53.8,2019-05-26,"","","","","","","",30.0
DATA,HKW045-PCPT,SCP,Final,553712.31,5835712.75,,"",55.15,2019-06-03,"","","","","","","",26.0
DATA,HKW046-PCPT,SCP,Final,554504.37,5835561.66,,"",56.13,2019-06-03,"","","","","","","",30.0
DATA,HKW046-TCPT,SCP,Final,554503.54,5835563.47,,"",6.04,2019-06-16,"","","","","","","",30.0
DATA,HKW047-PCPT,SCP,Final,555679.96,5835334.54,,"",54.28,2019-06-04,"","","","","","","",27.0
DATA,HKW047-SCPT,SCP,Final,555677.18,5835335.28,,"",36.39,2019-06-15,"","","","","","","",27.0
DATA,HKW047-TCPT,SCP,Final,555682.36,5835335.32,,"",6.03,2019-06-16,"","","","","","","",27.0
DATA,HKW048-PCPT,SCP,Final,549649.06,5835671.0,,"",53.41,2019-05-25,"","","","","","","",29.0
DATA,HKW049-PCPT,SCP,Final,553547.56,5834922.28,,"",54.52,2019-06-04,"","","","","","","",30.0
DATA,HKW049-SCPT,SCP,Final,553551.33,5834916.55,,"",51.79,2019-06-15,"","","","","","","",30.0
DATA,HKW050-PCPT,SCP,Final,546823.64,5835805.36,,"",54.16,2019-05-26,"","","","","","","",28.0
DATA,HKW050-SCPT,SCP,Final,546819.63,5835801.23,,"",54.9,2019-05-31,"","","","","","","",29.0
DATA,HKW050-TCPT,SCP,Final,546827.46,5835802.01,,"",5.88,2019-06-02,"","","","","","","",29.0
DATA,HKW051-PCPT,SCP,Final,554683.01,5834300.21,,"",54.65,2019-06-04,"","","","","","","",29.0
DATA,HKW051-TCPT,SCP,Final,554680.02,5834300.55,,"",6.05,2019-06-16,"","","","","","","",29.0
DATA,HKW052-PCPT,SCP,Final,556221.62,5834001.17,,"",54.69,2019-06-04,"","","","","","","",27.0
DATA,HKW053-PCPT,SCP,Final,551032.6,5834588.7,,"",54.62,2019-05-26,"","","","","","","",26.0
DATA,HKW054-PCPT,SCP,Final,545070.69,5835323.24,,"",54.4,2019-05-26,"","","","","","","",28.0
DATA,HKW054-SCPT,SCP,Final,545067.06,5835319.76,,"",54.95,2019-05-31,"","","","","","","",28.0
DATA,HKW054-TCPT,SCP,Final,545074.13,5835320.03,,"",6.0,2019-06-02,"","","","","","","",28.0
DATA,HKW055-PCPT,SCP,Final,548614.85,5834645.13,,"",54.42,2019-05-21,"","","","","","","",31.0
DATA,HKW055-SCPT,SCP,Final,548617.5,5834639.75,,"",55.24,2019-05-30,"","","","","","","",30.0
DATA,HKW055-TCPT,SCP,Final,548618.76,5834642.66,,"",5.96,2019-06-02,"","","","","","","",31.0
DATA,HKW056-PCPT,SCP,Final,549740.03,5834023.3,,"",54.41,2019-05-21,"","","","","","","",28.0
DATA,HKW056-SCPT-A,SCP,Final,549736.7,5834016.81,,"",55.32,2019-05-30,"","","","","","","",28.0
DATA,HKW056-TCPT,SCP,Final,549743.17,5834021.58,,"",5.95,2019-06-02,"","","","","","","",28.0
DATA,HKW057-PCPT,SCP,Final,552859.43,5833426.24,,"",54.03,2019-05-27,"","","","","","","",27.0
DATA,HKW058-PCPT,SCP,Final,546123.3,5834307.99,,"",54.62,2019-05-26,"","","","","","","",29.0
DATA,HKW059-PCPT-A,SCP,Final,553174.4,5832964.28,,"",42.86,2019-05-28,"","","","","","","",30.0
DATA,HKW060-PCPT,SCP,Final,555175.58,5832576.95,,"",53.26,2019-06-04,"","","","","","","",29.0
DATA,HKW060-SCPT,SCP,Final,555168.25,5832580.71,,"",52.87,2019-06-15,"","","","","","","",27.0
DATA,HKW060-TCPT,SCP,Final,555175.59,5832579.63,,"",6.02,2019-06-16,"","","","","","","",27.0
